Sample,Group,Drainage,Lateral_Line_Scales,Transverse_Total,Caudal_Peduncle_Total
TU4284-11,East,Pascagoula,54,16,27
TU4284-12,East,Pascagoula,54,16,27
TU4284-13,East,Pascagoula,54,13,25
TU4284-14,East,Pascagoula,50,14,24
TU4284-15,East,Pascagoula,54,14,23
TU4284-16,East,Pascagoula,54,14,24
TU4284-17,East,Pascagoula,51,15,24
TU4284-18,East,Pascagoula,55,16,27
TU4284-19,East,Pascagoula,51,14,25
TU4284-2,East,Pascagoula,53,14,25
TU4284-3,East,Pascagoula,50,15,27
TU4284-4,East,Pascagoula,50,14,25
TU4284-5,East,Pascagoula,49,15,24
TU4284-6,East,Pascagoula,51,15,26
TU4284-7,East,Pascagoula,53,13,23
TU4284-8,East,Pascagoula,51,15,24
TU4284-9,East,Pascagoula,51,14,25
TU55480,East,Pascagoula,51,13,23
TU56653,East,Pascagoula,56,14,24
TU66040-1,East,Pascagoula,57,14,24
TU66040-2,East,Pascagoula,51,15,24
TU14267-2,East,Pearl,46,16,17
TU14267-4,East,Pearl,52,14,24
TU14267-5,East,Pearl,53,16,27
TU14267-6,East,Pearl,47,14,24
TU14267-7,East,Pearl,54,15,16
TU14392-1,East,Pearl,49,16,25
TU14392-2,East,Pearl,57,13,16
TU14392-3,East,Pearl,53,15,27
TU14392-4,East,Pearl,53,14,23
TU14392-5,East,Pearl,54,14,25
TU14392-6,East,Pearl,47,14,23
TU170514,East,Pearl,53,15,26
TU17652-1,East,Pearl,52,14,23
TU17652-2,East,Pearl,52,16,25
TU17652-3,East,Pearl,49,13,23
TU26537,East,Pearl,56,15,24
TU26601,East,Pearl,51,15,24
TU28920,East,Pearl,53,15,28
TU36048-1,East,Pearl,55,13,22
TU50186,East,Pearl,52,15,27
TU53615,East,Pearl,56,15,28
TU54389-1,East,Pearl,51,15,27
TU54389-2,East,Pearl,51,15,27
TU55521-1,East,Pearl,53,15,26
TU56069-1,East,Pearl,52,15,27
TU56069-2,East,Pearl,54,15,28
TU56069-3,East,Pearl,55,15,26
TU56069-4,East,Pearl,49,15,26
TU56489,East,Pearl,47,16,28
TU56611-1,East,Pearl,56,15,27
TU56611-2,East,Pearl,56,15,23
TU57437,East,Pearl,53,15,24
TU59215-1,East,Pearl,55,15,26
TU59215-2,East,Pearl,55,15,24
TU59215-3,East,Pearl,56,16,27
TU59264-1,East,Pearl,53,15,26
TU59264-2,East,Pearl,49,14,24
TU62465,East,Pearl,52,15,27
TU64472,East,Pearl,51,16,28
TU23980,East,Perdido,47,14,24
TU153375-1,East,Tennessee,47,13,26
TU153375-2,East,Tennessee,44,13,23
TU87968,East,Tennessee,50,14,23
TU88014-1,East,Tennessee,50,14,22
TU88014-2,East,Tennessee,51,13,24
TU88014-3,East,Tennessee,58,13,23
TU88014-4,East,Tennessee,44,13,23
TU88014-5,East,Tennessee,43,13,22
TU88580-1,East,Tennessee,49,15,23
TU88580-2,East,Tennessee,46,13,23
TU88580-3,East,Tennessee,52,14,22
TU88580-4,East,Tennessee,44,13,23
TU88580-5,East,Tennessee,43,14,23
TU88580-6,East,Tennessee,48,13,23
TU88580-7,East,Tennessee,52,14,23
TU88656,East,Tennessee,44,13,23
TU88666-1,East,Tennessee,55,13,21
TU88666-2,East,Tennessee,51,15,24
TU88666-3,East,Tennessee,55,15,25
TU88666-4,East,Tennessee,45,14,26
TU88689,East,Tennessee,51,13,22
TU89326,East,Tennessee,44,13,21
AUM19506,East,Tombigbee,57,14,26
TU33049-1,East,Yacona,51,14,23
TU33049-2,East,Yacona,48,15,23
TNMC11436,West,Brazos,54,16,26
ASUMZ20189,West,Cache-White,50,15,27
ASUMZ20266,West,Cache-White,50,17,26
TNHE23901-1,West,Colorado,54,15,25
TNHE23901-2,West,Colorado,52,16,26
TNHE23901-3,West,Colorado,51,13,23
TNHE23901-4,West,Colorado,49,13,24
TNHE23901-5,West,Colorado,50,14,25
TNHE23901-6,West,Colorado,48,13,24
UAIC15200.02-2,West,Colorado,50,16,26
Uncataloged-1,West,Colorado,48,13,24
Uncataloged-2,West,Colorado,38,12,25
Uncataloged-3,West,Colorado,51,15,27
Uncataloged-4,West,Colorado,48,14,27
Uncataloged-5,West,Colorado,48,12,23
Uncataloged-6,West,Colorado,52,14,26
Uncataloged-7,West,Colorado,47,15,24
Uncataloged-8,West,Colorado,50,13,25
ASUMZ20135,West,Cossatot-Red,54,16,23
TNHC2455,West,Neches,52,16,27
TU125571-1,West,Neches,53,17,26
TU125571-10,West,Neches,50,16,25
TU125571-2,West,Neches,52,17,28
TU125571-3,West,Neches,52,16,25
TU125571-4,West,Neches,52,16,28
TU125571-5,West,Neches,52,16,26
TU125571-6,West,Neches,48,16,25
TU125571-7,West,Neches,50,16,24
TU125571-8,West,Neches,52,16,25
TU125571-9,West,Neches,52,16,25
TU3382-1,West,Neches,54,17,29
TU3382-2,West,Neches,54,16,24
TU3382-3,West,Neches,57,16,26
TU3382-4,West,Neches,53,16,24
TU3382-5,West,Neches,54,17,25
TU3382-6,West,Neches,56,17,26
TU14354-1,West,Ouachita,48,19,29
TU14354-2,West,Ouachita,47,18,28
TU14354-3,West,Ouachita,51,17,26
TU14354-4,West,Ouachita,48,18,26
UAIC15212.01-1,West,Ouachita,57,16,28
UAIC15212.01-2,West,Ouachita,49,17,26
UAIC15212.01-4,West,Ouachita,50,15,26
A-1,West,Red,51,16,24
B-1,West,Red,46,16,24
B-2,West,Red,54,15,28
B-3,West,Red,47,16,29
C-1,West,Red,48,16,27
C-2,West,Red,52,15,25
C-3,West,Red,56,16,27
C-4,West,Red,55,16,26
C-5,West,Red,47,16,24
C-6,West,Red,49,16,26
C-7,West,Red,49,14,26
C-8,West,Red,52,16,28
TNHC3928-1,West,Red,58,17,28
TNHC3928-10,West,Red,47,16,27
TNHC3928-11,West,Red,55,18,28
TNHC3928-2,West,Red,53,16,27
TNHC3928-3,West,Red,50,16,28
TNHC3928-4,West,Red,54,17,28
TNHC3928-5,West,Red,60,17,27
TNHC3928-6,West,Red,51,17,30
TNHC3928-7,West,Red,55,17,27
TNHC3928-8,West,Red,57,16,30
TNHC3928-9,West,Red,52,16,25
INHS83300-1,West,Sabine,52,16,27
INHS83300-2,West,Sabine,50,16,24
INHS83300-4,West,Sabine,51,15,25
TNHC1523,West,Sabine,51,14,26
TU103251-1,West,Sabine,53,16,25
TU103251-2,West,Sabine,52,15,27
TU103251-3,West,Sabine,51,15,27
TU103251-4,West,Sabine,56,17,29
TU103251-5,West,Sabine,49,16,26
TU60256-1,West,Sabine,50,14,25
TU60256-2,West,Sabine,48,14,24
TU60256-3,West,Sabine,50,15,26
TU86888,West,Sabine,49,16,26
TU86935-1,West,Sabine,50,15,25
TU86935-2,West,Sabine,49,14,25
TNHC1205-1,West,San Jacinto,50,16,25
TNHC1205-10,West,San Jacinto,45,15,26
TNHC1205-11,West,San Jacinto,52,14,25
TNHC1205-12,West,San Jacinto,53,14,25
TNHC1205-13,West,San Jacinto,48,15,25
TNHC1205-2,West,San Jacinto,53,15,26
TNHC1205-3,West,San Jacinto,44,15,24
TNHC1205-4,West,San Jacinto,51,14,25
TNHC1205-5,West,San Jacinto,52,16,25
TNHC1205-6,West,San Jacinto,51,15,25
TNHC1205-7,West,San Jacinto,50,16,27
TNHC1205-8,West,San Jacinto,51,14,26
TNHC1205-9,West,San Jacinto,54,15,28
TNHC1346,West,San Jacinto,53,16,27
TNHC2614,West,San Jacinto,50,15,27
TNHC2722,West,San Jacinto,49,13,24
TNHC2749-1,West,San Jacinto,50,15,26
TNHC2749-10,West,San Jacinto,50,15,25
TNHC2749-11,West,San Jacinto,50,14,24
TNHC2749-12,West,San Jacinto,49,13,23
TNHC2749-13,West,San Jacinto,48,14,25
TNHC2749-2,West,San Jacinto,56,16,25
TNHC2749-3,West,San Jacinto,52,15,27
TNHC2749-4,West,San Jacinto,50,15,27
TNHC2749-5,West,San Jacinto,50,15,24
TNHC2749-6,West,San Jacinto,48,17,26
TNHC2749-7,West,San Jacinto,50,14,25
TNHC2749-8,West,San Jacinto,50,14,24
TNHC2749-9,West,San Jacinto,49,16,24
TU74010,West,San Jacinto,50,14,24
